"district","year","x","y","week","rainsum","mintemperature","meantemperature","maxtemperature"
15,2020,-106.93347403,24.85958454,1,44.5,22.3999996185303,28.6000003814697,34.7999992370605
15,2020,-106.43099027,26.11964389,1,44,11.1000003814697,19.7000007629395,28.3000011444092
15,2020,-106.42635391,25.66017635,1,47.2999992370605,11.4000005722046,19.5,27.6000003814697
15,2020,-106.39333488,24.73315555,1,50.7999992370605,18.2000007629395,24.8000011444092,31.3999996185303
15,2020,-106.27814729,26.01259989,1,44,11.1000003814697,19.7000007629395,28.3000011444092
15,2020,-106.21432379,25.54837875,1,47.2999992370605,11.4000005722046,19.5,27.6000003814697
15,2020,-106.13117268,26.74511531,1,32.2000007629395,15.1000003814697,23.5,31.8999996185303
15,2020,-106.05884384,26.12261908,1,44,11.1000003814697,19.7000007629395,28.3000011444092
15,2020,-105.99327902,26.54254439,1,30.3999996185303,16.3000011444092,24.8000011444092,33.2999992370605
15,2020,-105.87259896,25.92496987,1,36.5,12.6999998092651,21.3000011444092,30
15,2020,-105.84269921,26.06441315,1,34.9000015258789,14.6000003814697,23.3000011444092,32
15,2020,-105.79314231,24.70619436,1,45.4000015258789,12,20,28.1000003814697
15,2020,-105.7024306,24.252662,1,42.6000022888184,13,20.6000003814697,28.3000011444092
15,2020,-105.66415957,23.77615275,1,34.5,18,24.2000007629395,30.5
15,2020,-105.62350355,25.80741451,1,36.5,12.6999998092651,21.3000011444092,30
15,2020,-105.60151288,25.80803458,1,36.5,12.6999998092651,21.3000011444092,30
15,2020,-105.59115102,23.45965615,1,26.1000003814697,21.8999996185303,26.6000003814697,31.3000011444092
15,2020,-105.58673715,25.11774063,1,40,12.5,20.8999996185303,29.3999996185303
15,2020,-105.5602398,24.08759321,1,42.6000022888184,13,20.6000003814697,28.3000011444092
15,2020,-105.54703055,26.38933192,1,34.9000015258789,14.6000003814697,23.3000011444092,32
15,2020,-105.50581748,23.37500892,1,26.1000003814697,21.8999996185303,26.6000003814697,31.3000011444092
15,2020,-105.49561263,24.08911236,1,42.1000022888184,10.8000001907349,19.3999996185303,28.1000003814697
